avg_waiting_time,time_when_first_car_at_main_queue,time_when_first_car_at_mini_queue,total_cars_serviced,total_cars_generated,cars_serviced_by_dispenser_0,cars_serviced_by_dispenser_1,cars_serviced_by_dispenser_2,cars_serviced_by_dispenser_3,total_cars_in_main_queue_at_end,total_cars_in_mini_queues_at_end,time_when_queue_is_full,total_cars_with_fuel_A,total_cars_with_fuel_B,number_of_mistakes
25.59375,35,0,32,69,9,8,8,7,24,9,0,47,22,3
23.82758620689655,40,0,29,65,9,7,7,6,20,12,0,41,24,2
28.0,37,0,29,67,9,7,7,6,26,8,0,46,21,6
23.685714285714287,30,0,35,66,9,10,8,8,18,10,0,41,25,2
23.29032258064516,43,0,31,64,10,7,8,6,21,9,0,48,16,3
22.685714285714287,33,0,35,69,9,8,8,10,23,8,0,48,21,6
26.029411764705884,36,0,34,71,10,8,9,7,22,11,0,49,22,1
23.258064516129032,43,0,31,63,8,8,9,6,21,8,0,48,15,5
23.818181818181817,36,0,33,63,9,8,8,8,16,11,0,45,18,2
26.633333333333333,44,0,30,65,8,8,8,6,21,10,0,46,19,0
23.65625,41,0,32,63,8,8,8,8,18,10,0,43,20,4
26.529411764705884,28,0,34,69,10,8,8,8,24,9,0,49,20,4
27.428571428571427,28,0,28,71,7,7,7,7,27,12,0,51,20,2
26.0,31,0,27,63,7,7,7,6,20,12,0,43,20,5
22.342105263157894,44,0,38,69,10,11,9,8,17,10,0,46,23,1
18.676470588235293,46,0,34,67,9,10,8,7,20,11,0,45,22,5
23.53125,40,0,32,66,8,8,8,8,19,11,0,47,19,2
20.75,50,0,32,60,7,8,9,8,16,9,0,42,18,1
19.685714285714287,40,0,35,67,9,10,9,7,18,12,0,51,16,5
27.4,29,0,30,68,10,7,7,6,24,11,0,48,20,8
29.161290322580644,27,0,31,66,8,8,8,7,19,12,0,48,18,5
21.363636363636363,50,0,33,60,9,10,8,6,12,11,0,36,24,1
27.9375,27,0,32,65,8,9,8,7,22,8,0,45,20,6
26.448275862068964,35,0,29,66,7,9,7,6,25,9,0,48,18,4
20.724137931034484,43,0,29,61,8,8,8,5,19,11,0,45,16,9
21.59375,39,0,32,63,10,7,8,7,15,12,0,45,18,1
27.285714285714285,35,0,28,66,8,7,7,6,22,12,0,40,26,3
23.114285714285714,37,0,35,67,9,10,8,8,19,9,0,44,23,4
24.03448275862069,38,0,29,68,8,8,7,6,24,11,0,47,21,6
25.96875,28,0,32,66,9,10,8,5,23,8,0,53,13,7
22.794117647058822,40,0,34,62,9,9,8,8,12,12,0,43,19,1
23.060606060606062,40,0,33,66,10,9,8,6,18,11,0,40,26,4
21.875,47,0,32,61,8,9,7,8,16,10,0,38,23,5
22.818181818181817,44,0,33,62,9,8,8,8,17,9,0,47,15,3
23.0,38,0,32,63,7,9,8,8,18,9,0,42,21,7
29.161290322580644,32,0,31,71,10,7,8,6,26,10,0,48,23,8
21.517241379310345,38,0,29,60,8,9,7,5,18,11,0,44,16,4
21.5,38,0,32,63,7,8,8,9,18,11,0,41,22,4
30.466666666666665,24,0,30,68,7,8,8,7,23,11,0,47,21,4
